"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"pilarcitos","5","5","browsed","2","bapi",,,,,,,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,"ag","jupa",,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,"jupa",,,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,,"juph",,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,"brho","juph",,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,"brho","femy",,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,,"brho",,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,,"juph",,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,"juph",,,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,"juph",,,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,"juph",,,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,"juph",,,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,"juph",,,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,"femy",,,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,"juph",,"femy",,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,,"femy",,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,,,,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,,,,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,,"femy",,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,,"femy",,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,,"juph",,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,"letr",,,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,"juph",,,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,,"letr",,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,"juph","femy",,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,"juph","femy",,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,"juph","femy","letr",,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,,"letr","femy",,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,,"femy",,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,,,,,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,,"lope","brho",,,,,
"pilarcitos","5","5","browsed","2","bapi",,,,"brho","femy",,,,,,
"pilarcitos","5","5","browsed","2",,,,,"brho",,,,,,,
