"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"pilarcitos","1","2","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"bg",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"bg",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"bg",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"bg",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,,,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"bg",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"bg",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,,,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"bg",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","1","2","control","2","d",,,,"l",,,,,,,
"pilarcitos","1","2","control","2","d",,,,"bg",,,,,,,
"pilarcitos","1","2","control","2","d",,,,"sacr",,,,,,,
"pilarcitos","1","2","control","2","d",,,,"bg",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"bg",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"sacr",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"l",,,,,,,
"pilarcitos","1","2","control","2","bapi",,,,"l",,,,,,,
