"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"barloy","0","1","browsed","2","d",,,,"ag",,,,,,,
"barloy","0","1","browsed","2","d",,,,"ag",,,,,,,
"barloy","0","1","browsed","2","d",,,,"ag",,,,,,,
"barloy","0","1","browsed","2","d",,,,"ag",,,,,,,
"barloy","0","1","browsed","2","d",,,,"ag",,,,,,,
"barloy","0","1","browsed","2","d",,,,"ag",,,,,,,
"barloy","0","1","browsed","2","d",,,,"ag",,,,,,,
"barloy","0","1","browsed","2","d",,,,"ag",,,,,,,
"barloy","0","1","browsed","2","bapi",,,,"ag",,,,,,,
"barloy","0","1","browsed","2","bapi",,,,"ag",,,,,,,
"barloy","0","1","browsed","2","bapi",,,,"l",,,,,,,
"barloy","0","1","browsed","2","bapi",,,,"ag",,,,,,,
"barloy","0","1","browsed","2","bapi",,,,"ag",,,,,,,
"barloy","0","1","browsed","2","bapi",,,,"ag",,,,,,,
"barloy","0","1","browsed","2","bapi",,,,"other",,,,,,,
"barloy","0","1","browsed","2","bapi",,,,"l",,,,,,,
"barloy","0","1","browsed","2","bapi",,,,"other",,,,,,,
"barloy","0","1","browsed","2","bapi",,,,"l",,,,,,,
"barloy","0","1","browsed","2","bapi",,,,"l",,,,,,,
"barloy","0","1","browsed","2","bapi",,,,"other",,,,,,,
"barloy","0","1","browsed","2","bapi",,,,"l",,,,,,,
"barloy","0","1","browsed","2","bapi",,,,"other",,,,,,,
"barloy","0","1","browsed","2","bapi","d",,,"other",,,,,,,
"barloy","0","1","browsed","2",,,,,"ag","other",,,,,,
"barloy","0","1","browsed","2","bapi","d",,,"ag","other",,,,,,
"barloy","0","1","browsed","2","bapi",,,,"ag","other",,,,,,
"barloy","0","1","browsed","2","bapi",,,,"ag","other",,,,,,
"barloy","0","1","browsed","2","bapi",,,,"ag","other",,,,,,
"barloy","0","1","browsed","2","bapi",,,,"ag",,,,,,,
"barloy","0","1","browsed","2","bapi",,,,"ag",,,,,,,
"barloy","0","1","browsed","2","bapi",,,,"ag","other",,,,,,
"barloy","0","1","browsed","2","bapi",,,,"ag","other",,,,,,
"barloy","0","1","browsed","2","bapi",,,,"ag","other",,,,,,
"barloy","0","1","browsed","2","bapi",,,,"ag",,,,,,,
"barloy","0","1","browsed","2","bapi",,,,"ag",,,,,,,
"barloy","0","1","browsed","2","bapi",,,,"ag",,,,,,,
"barloy","0","1","browsed","2","bapi",,,,"ag",,,,,,,
"barloy","0","1","browsed","2","bapi",,,,"ag",,,,,,,
"barloy","0","1","browsed","2","bapi",,,,"ag",,,,,,,
"barloy","0","1","browsed","2","bapi",,,,"ag",,,,,,,
