"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"barloy","0","4","browsed","1","bapi",,,,"o",,,,,,,
"barloy","0","4","browsed","1","bapi",,,,"o",,,,,,,
"barloy","0","4","browsed","1","bapi",,,,"l",,,,,,,
"barloy","0","4","browsed","1","bapi",,,,"o",,,,,,,
"barloy","0","4","browsed","1","bapi",,,,"o",,,,,,,
"barloy","0","4","browsed","1","bapi",,,,"o",,,,,,,
"barloy","0","4","browsed","1","bapi",,,,"o","onh",,,,,,
"barloy","0","4","browsed","1",,,,,"l",,,,,,,
"barloy","0","4","browsed","1",,,,,"ag",,,,,,,
"barloy","0","4","browsed","1",,,,,"ag",,,,,,,
"barloy","0","4","browsed","1",,,,,"l",,,,,,,
"barloy","0","4","browsed","1",,,,,"ag",,,,,,,
"barloy","0","4","browsed","1",,,,,"l",,,,,,,
"barloy","0","4","browsed","1",,,,,"o",,,,,,,
"barloy","0","4","browsed","1",,,,,"l",,,,,,,
"barloy","0","4","browsed","1",,,,,"ag",,,,,,,
"barloy","0","4","browsed","1","bapi",,,,"ag",,,,,,,
"barloy","0","4","browsed","1","bapi",,,,"o",,,,,,,
"barloy","0","4","browsed","1","bapi",,,,"l",,,,,,,
"barloy","0","4","browsed","1","bapi",,,,"l",,,,,,,
"barloy","0","4","browsed","1","bapi",,,,"l",,,,,,,
"barloy","0","4","browsed","1",,,,,"l",,,,,,,
"barloy","0","4","browsed","1",,,,,"o","ag",,,,,,
"barloy","0","4","browsed","1",,,,,"ag",,,,,,,
"barloy","0","4","browsed","1",,,,,"o","ag",,,,,,
"barloy","0","4","browsed","1",,,,,"l",,,,,,,
"barloy","0","4","browsed","1",,,,,"ag",,,,,,,
"barloy","0","4","browsed","1",,,,,"ag",,,,,,,
"barloy","0","4","browsed","1",,,,,"ag","o",,,,,,
"barloy","0","4","browsed","1",,,,,"ag",,,,,,,
"barloy","0","4","browsed","1",,,,,"ag","o",,,,,,
"barloy","0","4","browsed","1","bapi",,,,"ag",,,,,,,
"barloy","0","4","browsed","1","bapi",,,,"l",,,,,,,
"barloy","0","4","browsed","1","bapi",,,,"l",,,,,,,
"barloy","0","4","browsed","1","bapi",,,,"o",,,,,,,
"barloy","0","4","browsed","1","bapi",,,,"l",,,,,,,
"barloy","0","4","browsed","1","bapi",,,,"o",,,,,,,
"barloy","0","4","browsed","1","bapi",,,,"l",,,,,,,
"barloy","0","4","browsed","1","bapi",,,,"ag",,,,,,,
"barloy","0","4","browsed","1","bapi",,,,"ag",,,,,,,
