"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"pilarcitos","0","4","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"stpu",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"stpu",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"stpu",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"stpu",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"stpu",,,,,,,
"pilarcitos","0","4","browsed","2","d",,,,"stpu",,,,,,,
"pilarcitos","0","4","browsed","2","d",,,,"stpu",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"stpu",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"stpu",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","0","4","browsed","2",,,,,"l",,,,,,,
"pilarcitos","0","4","browsed","2",,,,,"stpu",,,,,,,
"pilarcitos","0","4","browsed","2",,,,,"stpu",,,,,,,
"pilarcitos","0","4","browsed","2",,,,,,,,,,,,
"pilarcitos","0","4","browsed","2",,,,,"stpu",,,,,,,
"pilarcitos","0","4","browsed","2","d",,,,"l",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"stpu",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"l",,,,,,,
"pilarcitos","0","4","browsed","2","d",,,,"l",,,,,,,
"pilarcitos","0","4","browsed","2","bapi",,,,"stpu",,,,,,,
"pilarcitos","0","4","browsed","2",,,,,"stpu",,,,,,,
"pilarcitos","0","4","browsed","2",,,,,"l",,,,,,,
"pilarcitos","0","4","browsed","2","d",,,,"l",,,,,,,
"pilarcitos","0","4","browsed","2","d",,,,"l",,,,,,,
