"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"barloy","0","6","browsed","1","bapi",,,,"ag",,,,,,,
"barloy","0","6","browsed","1",,,,,"ag",,,,,,,
"barloy","0","6","browsed","1","bapi",,,,"l",,,,,,,
"barloy","0","6","browsed","1","bapi",,,,"ag",,,,,,,
"barloy","0","6","browsed","1","bapi",,,,"jusp",,,,,,,
"barloy","0","6","browsed","1","d",,,,"ag",,,,,,,
"barloy","0","6","browsed","1","d",,,,"l",,,,,,,
"barloy","0","6","browsed","1","d",,,,"bapi","ag",,,,,,
"barloy","0","6","browsed","1","bapi",,,,"ag",,,,,,,
"barloy","0","6","browsed","1","d",,,,"ag",,,,,,,
"barloy","0","6","browsed","1",,,,,"ag",,,,,,,
"barloy","0","6","browsed","1",,,,,"ag",,,,,,,
"barloy","0","6","browsed","1",,,,,"ag",,,,,,,
"barloy","0","6","browsed","1",,,,,"ag",,,,,,,
"barloy","0","6","browsed","1",,,,,"ag",,,,,,,
"barloy","0","6","browsed","1",,,,,"ag",,,,,,,
"barloy","0","6","browsed","1",,,,,"ag",,,,,,,
"barloy","0","6","browsed","1",,,,,"ag",,,,,,,
"barloy","0","6","browsed","1",,,,,"ag","d",,,,,,
"barloy","0","6","browsed","1","d",,,,"ag",,,,,,,
"barloy","0","6","browsed","1","d",,,,"ag",,,,,,,
"barloy","0","6","browsed","1","d",,,,"ag",,,,,,,
"barloy","0","6","browsed","1","d",,,,"ag",,,,,,,
"barloy","0","6","browsed","1","d",,,,"ag",,,,,,,
"barloy","0","6","browsed","1","d",,,,"ag",,,,,,,
"barloy","0","6","browsed","1","d",,,,"o",,,,,,,
"barloy","0","6","browsed","1","d",,,,"ag",,,,,,,
"barloy","0","6","browsed","1","bapi",,,,"ag",,,,,,,
"barloy","0","6","browsed","1","bapi",,,,"l",,,,,,,
"barloy","0","6","browsed","1","bapi",,,,"ag",,,,,,,
"barloy","0","6","browsed","1","bapi",,,,"l",,,,,,,
"barloy","0","6","browsed","1","bapi",,,,"l",,,,,,,
"barloy","0","6","browsed","1","bapi",,,,"ag",,,,,,,
"barloy","0","6","browsed","1","bapi",,,,"ag",,,,,,,
"barloy","0","6","browsed","1","bapi",,,,"ag",,,,,,,
"barloy","0","6","browsed","1","bapi",,,,"ag",,,,,,,
"barloy","0","6","browsed","1","bapi",,,,"ag",,,,,,,
"barloy","0","6","browsed","1","bapi",,,,"ag",,,,,,,
"barloy","0","6","browsed","1","bapi",,,,"ag",,,,,,,
"barloy","0","6","browsed","1",,,,,"ag",,,,,,,
